station,layer,module,xshift,yshift,zshift
0.0,0.0,4.0,-1.053,1.201,28.822
0.0,0.0,0.0,-0.659,1.325,27.504
0.0,0.0,5.0,-0.994,1.172,28.158
0.0,0.0,1.0,-0.668,1.007,27.552
0.0,0.0,6.0,-1.024,0.779,28.282
0.0,0.0,2.0,-0.672,0.893,27.012
0.0,0.0,7.0,-0.979,0.795,27.728
0.0,0.0,3.0,-0.621,0.562,27.058
0.0,1.0,4.0,-1.204,1.008,28.846
0.0,1.0,0.0,-0.831,1.127,27.486
0.0,1.0,5.0,-1.17,0.713,28.183
0.0,1.0,1.0,-0.833,0.759,27.613
0.0,1.0,6.0,-1.245,0.594,28.31
0.0,1.0,2.0,-0.878,0.718,27.035
0.0,1.0,7.0,-1.141,0.572,27.689
0.0,1.0,3.0,-0.792,0.348,27.102
0.0,2.0,4.0,-1.371,0.661,28.816
0.0,2.0,0.0,-0.949,0.793,27.52
0.0,2.0,5.0,-1.195,0.633,28.156
0.0,2.0,1.0,-0.92,0.476,27.614
0.0,2.0,6.0,-1.331,0.341,28.274
0.0,2.0,2.0,-0.929,0.427,26.973
0.0,2.0,7.0,-1.198,0.257,27.669
0.0,2.0,3.0,-0.907,0.08,27.071
1.0,0.0,4.0,0.028,-0.532,0.158
1.0,0.0,0.0,-0.218,-0.477,-0.37
1.0,0.0,5.0,0.042,-0.329,-0.364
1.0,0.0,1.0,-0.23,-0.436,0.074
1.0,0.0,6.0,0.03,-0.315,0.211
1.0,0.0,2.0,-0.215,-0.198,-0.376
1.0,0.0,7.0,0.059,-0.055,-0.282
1.0,0.0,3.0,-0.215,-0.124,0.049
1.0,1.0,4.0,0.024,-0.547,0.11
1.0,1.0,0.0,-0.228,-0.46,-0.447
1.0,1.0,5.0,0.037,-0.551,-0.288
1.0,1.0,1.0,-0.213,-0.445,-0.008
1.0,1.0,6.0,0.031,-0.279,0.141
1.0,1.0,2.0,-0.222,-0.203,-0.381
1.0,1.0,7.0,0.035,-0.102,-0.243
1.0,1.0,3.0,-0.212,-0.246,0.045
1.0,2.0,4.0,0.048,-0.565,0.163
1.0,2.0,0.0,-0.244,-0.433,-0.412
1.0,2.0,5.0,0.018,-0.389,-0.337
1.0,2.0,1.0,-0.238,-0.448,0.012
1.0,2.0,6.0,0.026,-0.318,0.178
1.0,2.0,2.0,-0.23,-0.23,-0.321
1.0,2.0,7.0,0.023,-0.1,-0.234
1.0,2.0,3.0,-0.207,-0.157,0.02
2.0,0.0,4.0,0.131,-0.033,0.319
2.0,0.0,0.0,-0.029,-0.08,-0.204
2.0,0.0,5.0,0.066,-0.075,-0.098
2.0,0.0,1.0,0.046,-0.09,0.195
2.0,0.0,6.0,0.14,0.032,0.271
2.0,0.0,2.0,0.004,-0.046,-0.175
2.0,0.0,7.0,0.066,0.075,-0.156
2.0,0.0,3.0,0.039,-0.061,0.177
2.0,1.0,4.0,0.087,-0.142,0.25
2.0,1.0,0.0,-0.036,-0.046,-0.19
2.0,1.0,5.0,0.081,-0.223,-0.122
2.0,1.0,1.0,0.059,-0.095,0.178
2.0,1.0,6.0,0.043,-0.109,0.234
2.0,1.0,2.0,-0.068,0.029,-0.19
2.0,1.0,7.0,0.108,-0.056,-0.091
2.0,1.0,3.0,0.078,-0.014,0.152
2.0,2.0,4.0,0.016,-0.2,0.301
2.0,2.0,0.0,-0.061,-0.11,-0.172
2.0,2.0,5.0,0.089,-0.045,-0.081
2.0,2.0,1.0,-0.005,-0.121,0.156
2.0,2.0,6.0,-0.006,-0.094,0.259
2.0,2.0,2.0,-0.06,-0.031,-0.143
2.0,2.0,7.0,0.101,0.018,-0.106
2.0,2.0,3.0,-0.002,-0.041,0.177
3.0,0.0,4.0,-0.083,0.547,0.287
3.0,0.0,0.0,0.143,0.642,-0.162
3.0,0.0,5.0,-0.059,0.554,-0.039
3.0,0.0,1.0,0.205,0.439,0.211
3.0,0.0,6.0,-0.102,0.33,0.324
3.0,0.0,2.0,0.185,0.307,-0.062
3.0,0.0,7.0,-0.048,0.258,-0.013
3.0,0.0,3.0,0.2,0.096,0.215
3.0,1.0,4.0,-0.102,0.511,0.277
3.0,1.0,0.0,0.237,0.513,-0.093
3.0,1.0,5.0,-0.019,0.311,-0.083
3.0,1.0,1.0,0.194,0.393,0.209
3.0,1.0,6.0,-0.108,0.306,0.358
3.0,1.0,2.0,0.196,0.384,-0.128
3.0,1.0,7.0,0.031,0.265,0.067
3.0,1.0,3.0,0.206,0.067,0.199
3.0,2.0,4.0,-0.11,0.453,0.26
3.0,2.0,0.0,0.12,0.605,-0.179
3.0,2.0,5.0,-0.066,0.497,-0.096
3.0,2.0,1.0,0.218,0.425,0.165
3.0,2.0,6.0,-0.122,0.228,0.328
3.0,2.0,2.0,0.099,0.39,-0.091
3.0,2.0,7.0,-0.043,0.248,-0.054
3.0,2.0,3.0,0.222,0.13,0.183
